Name,Points,Off_Reb,Def_Reb,Assists,Steals,Blocks,Turnovers,Fouls,Matches,1pt_M,1pt_A,2pt_M,2pt_A,3pt_M,3pt_A,1pt %,2pt %,3pt %
"James Harden",2376,63,438,612,139,51,374,229,82,720,837,474,960,236,657,86.02,49.38,35.92
"Stephen Curry",2375,68,362,527,169,15,262,161,79,363,400,403,712,402,886,90.75,56.60,45.37
"Kevin Durant",2029,45,544,361,69,85,250,137,72,447,498,512,900,186,481,89.76,56.89,38.67
"LeBron James",1920,111,454,514,104,49,249,143,76,359,491,650,1134,87,282,73.12,57.32,30.85
"Damian Lillard",1879,45,257,512,65,28,242,165,75,414,464,389,864,229,610,89.22,45.02,37.54
"Russell Westbrook",1878,145,481,834,163,20,342,200,80,465,573,555,1103,101,341,81.15,50.32,29.62
"Paul George",1874,79,484,329,152,29,265,230,81,454,528,395,883,210,566,85.98,44.73,37.10
"DeMar DeRozan",1830,64,285,315,81,21,175,167,78,555,653,567,1238,47,139,84.99,45.80,33.81
"Isaiah Thomas",1823,46,197,509,91,9,220,167,82,474,544,424,917,167,465,87.13,46.24,35.91
"Klay Thompson",1771,35,271,166,60,49,138,152,80,193,221,375,736,276,650,87.33,50.95,42.46
"DeMarcus Cousins",1748,158,589,214,101,92,249,236,65,476,663,531,1122,70,210,71.79,47.33,33.33
"Kemba Walker",1689,56,301,421,126,39,171,111,81,371,438,386,841,182,490,84.70,45.90,37.14
"Andrew Wiggins",1675,105,186,164,78,46,182,165,81,430,565,537,1104,57,190,76.11,48.64,30.00
"CJ McCollum",1666,47,212,341,97,23,196,187,80,187,226,444,959,197,472,82.74,46.30,41.74
"Kyle Lowry",1634,55,310,494,158,34,225,211,77,398,491,300,651,212,547,81.06,46.08,38.76
"Gordon Hayward",1578,61,336,296,95,27,202,183,80,393,477,378,792,143,410,82.39,47.73,34.88
"Carmelo Anthony",1573,98,458,299,62,38,176,180,72,334,403,462,997,105,310,82.88,46.34,33.87
"John Wall",1531,42,337,789,145,59,318,159,77,272,344,457,1021,115,328,79.07,44.76,35.06
"Kawhi Leonard",1523,95,398,186,128,71,105,133,72,292,334,422,799,129,291,87.43,52.82,44.33
"Karl-Anthony Towns",1503,229,629,161,58,138,183,245,82,223,275,595,1065,30,88,81.09,55.87,34.09
